match_id,date,tournament,surface,best_of,round,player_a,player_b,winner,rank_a,rank_b,svpt_a,svpt_b,first_in_a,first_in_b,first_won_a,first_won_b,second_won_a,second_won_b,ace_a,ace_b,df_a,df_b,bp_saved_a,bp_saved_b,bp_faced_a,bp_faced_b
WTA:2024-800:291,2024-01-01,Brisbane,Hard,3,R16,Jelena Ostapenko,Karolina Pliskova,A,12.0,39.0,104.0,100.0,65.0,58.0,41.0,42.0,21.0,13.0,4.0,18.0,5.0,3.0,8.0,7.0,11.0,12.0
WTA:2024-800:292,2024-01-01,Brisbane,Hard,3,R16,Daria Kasatkina,Magda Linette,A,18.0,22.0,58.0,64.0,37.0,42.0,31.0,23.0,6.0,8.0,4.0,2.0,3.0,3.0,2.0,8.0,4.0,13.0
WTA:2024-800:293,2024-01-01,Brisbane,Hard,3,R16,Lin Zhu,Aryna Sabalenka,B,33.0,2.0,38.0,54.0,21.0,31.0,11.0,24.0,1.0,11.0,1.0,9.0,4.0,2.0,5.0,4.0,11.0,5.0
WTA:2024-800:294,2024-01-01,Brisbane,Hard,3,QF,Elena Rybakina,Anastasia Potapova,A,4.0,28.0,25.0,18.0,17.0,11.0,13.0,3.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0
WTA:2024-800:295,2024-01-01,Brisbane,Hard,3,QF,Mirra Andreeva,Linda Noskova,B,58.0,40.0,61.0,79.0,30.0,49.0,16.0,30.0,15.0,14.0,2.0,5.0,4.0,4.0,2.0,7.0,8.0,11.0
WTA:2024-800:296,2024-01-01,Brisbane,Hard,3,QF,Victoria Azarenka,Jelena Ostapenko,A,23.0,12.0,111.0,92.0,71.0,50.0,53.0,33.0,17.0,20.0,16.0,2.0,2.0,5.0,7.0,4.0,10.0,8.0
WTA:2024-800:297,2024-01-01,Brisbane,Hard,3,QF,Aryna Sabalenka,Daria Kasatkina,A,2.0,18.0,61.0,60.0,38.0,39.0,30.0,26.0,10.0,4.0,4.0,0.0,2.0,5.0,3.0,7.0,4.0,11.0
WTA:2024-800:298,2024-01-01,Brisbane,Hard,3,SF,Linda Noskova,Elena Rybakina,B,40.0,4.0,51.0,53.0,28.0,40.0,20.0,32.0,9.0,7.0,1.0,8.0,4.0,1.0,2.0,4.0,5.0,4.0
WTA:2024-800:299,2024-01-01,Brisbane,Hard,3,SF,Aryna Sabalenka,Victoria Azarenka,A,2.0,23.0,60.0,56.0,40.0,37.0,31.0,25.0,10.0,8.0,10.0,3.0,3.0,3.0,3.0,5.0,3.0,8.0
WTA:2024-800:300,2024-01-01,Brisbane,Hard,3,F,Elena Rybakina,Aryna Sabalenka,A,4.0,2.0,45.0,52.0,30.0,32.0,22.0,17.0,9.0,7.0,7.0,3.0,0.0,1.0,0.0,2.0,1.0,7.0
